"Price";"Date"
"4.0757 ";2012-12-18
"4.0927 ";2012-12-17
"4.0785 ";2012-12-14
"4.0980 ";2012-12-13
"4.0906 ";2012-12-12
"4.0868 ";2012-12-11
"4.1096 ";2012-12-10
"4.1204 ";2012-12-07
"4.1302 ";2012-12-06
"4.1205 ";2012-12-05
"4.1333 ";2012-12-04
"4.1311 ";2012-12-03
"4.1011 ";2012-11-30
"4.0910 ";2012-11-29
"4.1025 ";2012-11-28
"4.1001 ";2012-11-27
"4.1034 ";2012-11-26
"4.1112 ";2012-11-23
"4.1169 ";2012-11-22
"4.1162 ";2012-11-21
"4.1160 ";2012-11-20
"4.1303 ";2012-11-19
"4.1624 ";2012-11-16
"4.1590 ";2012-11-15
"4.1733 ";2012-11-14
"4.1845 ";2012-11-13
"4.1669 ";2012-11-12
"4.1569 ";2012-11-09
"4.1711 ";2012-11-08
"4.1437 ";2012-11-07
"4.1192 ";2012-11-06
"4.1112 ";2012-11-05
"4.1075 ";2012-11-02
"4.1192 ";2012-11-01
"4.1389 ";2012-10-31
"4.1294 ";2012-10-30
"4.1478 ";2012-10-29
"4.1369 ";2012-10-26
"4.1551 ";2012-10-25
"4.1599 ";2012-10-24
"4.1296 ";2012-10-23
"4.1059 ";2012-10-22
"4.1080 ";2012-10-19
"4.0972 ";2012-10-18
"4.0978 ";2012-10-17
"4.0824 ";2012-10-16
"4.0921 ";2012-10-15
"4.0986 ";2012-10-12
"4.0948 ";2012-10-11
"4.0980 ";2012-10-10
"4.0740 ";2012-10-09
"4.0682 ";2012-10-08
"4.0790 ";2012-10-05
"4.0858 ";2012-10-04
"4.0857 ";2012-10-03
"4.1121 ";2012-10-02
"4.1062 ";2012-10-01
"4.1151 ";2012-09-28
"4.1302 ";2012-09-27
"4.1503 ";2012-09-26
"4.1410 ";2012-09-25
"4.1472 ";2012-09-24
"4.1337 ";2012-09-21
"4.1479 ";2012-09-20
"4.1473 ";2012-09-19
"4.1182 ";2012-09-18
"4.1037 ";2012-09-17
"4.0613 ";2012-09-14
"4.0736 ";2012-09-13
"4.0969 ";2012-09-12
"4.0750 ";2012-09-11
"4.1160 ";2012-09-10
"4.0969 ";2012-09-07
"4.1278 ";2012-09-06
"4.1800 ";2012-09-05
"4.1927 ";2012-09-04
"4.1890 ";2012-09-03
"4.1703 ";2012-08-31
"4.1985 ";2012-08-30
"4.1767 ";2012-08-29
"4.1065 ";2012-08-28
"4.0870 ";2012-08-27
"4.0924 ";2012-08-24
"4.0968 ";2012-08-23
"4.0792 ";2012-08-22
"4.0778 ";2012-08-21
"4.0678 ";2012-08-20
"4.0679 ";2012-08-17
"4.0573 ";2012-08-16
"4.0801 ";2012-08-15
"4.0802 ";2012-08-14
"4.0865 ";2012-08-13
"4.0735 ";2012-08-10
"4.0508 ";2012-08-09
"4.0648 ";2012-08-08
"4.0750 ";2012-08-07
"4.0400 ";2012-08-06
"4.0677 ";2012-08-03
"4.1167 ";2012-08-02
"4.1070 ";2012-08-01
"4.1143 ";2012-07-31
"4.1172 ";2012-07-30
"4.1322 ";2012-07-27
"4.1358 ";2012-07-26
"4.1810 ";2012-07-25
"4.2181 ";2012-07-24
"4.2081 ";2012-07-23
"4.1637 ";2012-07-20
"4.1479 ";2012-07-19
"4.1655 ";2012-07-18
"4.1642 ";2012-07-17
"4.1898 ";2012-07-16
"4.1851 ";2012-07-13
"4.2070 ";2012-07-12
"4.1832 ";2012-07-11
"4.1862 ";2012-07-10
"4.2176 ";2012-07-09
"4.2461 ";2012-07-06
"4.2118 ";2012-07-05
"4.2139 ";2012-07-04
"4.1952 ";2012-07-03
"4.2160 ";2012-07-02
"4.2402 ";2012-06-29
"4.2896 ";2012-06-28
"4.2568 ";2012-06-27
"4.2545 ";2012-06-26
"4.2620 ";2012-06-25
"4.2721 ";2012-06-22
"4.2931 ";2012-06-21
"4.2337 ";2012-06-20
"4.2490 ";2012-06-19
"4.2770 ";2012-06-18
"4.2477 ";2012-06-15
"4.2854 ";2012-06-14
"4.3052 ";2012-06-13
"4.3211 ";2012-06-12
"4.3491 ";2012-06-11
"4.2955 ";2012-06-08
"4.2652 ";2012-06-07
"4.3152 ";2012-06-06
"4.3735 ";2012-06-05
"4.3885 ";2012-06-04
"4.4078 ";2012-06-01
"4.3922 ";2012-05-31
"4.3945 ";2012-05-30
"4.3554 ";2012-05-29
"4.3466 ";2012-05-28
"4.3656 ";2012-05-25
"4.3632 ";2012-05-24
"4.3753 ";2012-05-23
"4.3506 ";2012-05-22
"4.3124 ";2012-05-21
"4.3508 ";2012-05-18
"4.3599 ";2012-05-17
"4.3561 ";2012-05-16
"4.3614 ";2012-05-15
"4.3258 ";2012-05-14
"4.2574 ";2012-05-11
"4.2329 ";2012-05-10
"4.2454 ";2012-05-09
"4.2046 ";2012-05-08
"4.1796 ";2012-05-07
"4.1935 ";2012-05-04
"4.1822 ";2012-05-03
"4.1600 ";2012-05-02
"4.1543 ";2012-05-01
"4.1747 ";2012-04-30
"4.1689 ";2012-04-27
"4.1795 ";2012-04-26
"4.1758 ";2012-04-25
"4.1941 ";2012-04-24
"4.2081 ";2012-04-23
"4.1922 ";2012-04-20
"4.1897 ";2012-04-19
"4.1851 ";2012-04-18
"4.1713 ";2012-04-17
"4.1907 ";2012-04-16
"4.1826 ";2012-04-13
"4.1712 ";2012-04-12
"4.1927 ";2012-04-11
"4.2007 ";2012-04-10
"4.1723 ";2012-04-09
"4.1608 ";2012-04-06
"4.1574 ";2012-04-05
"4.1543 ";2012-04-04
"4.1402 ";2012-04-03
"4.1367 ";2012-04-02
"4.1481 ";2012-03-30
"4.1581 ";2012-03-29
"4.1652 ";2012-03-28
"4.1413 ";2012-03-27
"4.1300 ";2012-03-26
"4.1499 ";2012-03-23
"4.1670 ";2012-03-22
"4.1475 ";2012-03-21
"4.1244 ";2012-03-20
"4.1105 ";2012-03-19
"4.1186 ";2012-03-16
"4.1170 ";2012-03-15
"4.1562 ";2012-03-14
"4.1201 ";2012-03-13
"4.1120 ";2012-03-12
"4.0881 ";2012-03-09
"4.0995 ";2012-03-08
"4.1581 ";2012-03-07
"4.1654 ";2012-03-06
"4.1352 ";2012-03-05
"4.1116 ";2012-03-02
"4.1014 ";2012-03-01
"4.1306 ";2012-02-29
"4.1290 ";2012-02-28
"4.1677 ";2012-02-27
"4.1651 ";2012-02-24
"4.1726 ";2012-02-23
"4.1971 ";2012-02-22
"4.1756 ";2012-02-21
"4.1743 ";2012-02-20
"4.1848 ";2012-02-17
"4.1970 ";2012-02-16
"4.2083 ";2012-02-15
"4.1790 ";2012-02-14
"4.1840 ";2012-02-13
"4.2150 ";2012-02-10
"4.1951 ";2012-02-09
"4.1859 ";2012-02-08
"4.1605 ";2012-02-07
"4.1743 ";2012-02-06
"4.1737 ";2012-02-03
"4.1897 ";2012-02-02
"4.1906 ";2012-02-01
"4.2241 ";2012-01-31
"4.2527 ";2012-01-30
"4.2256 ";2012-01-27
"4.2387 ";2012-01-26
"4.2566 ";2012-01-25
"4.2725 ";2012-01-24
"4.2770 ";2012-01-23
